PORADI;ID_NALEZ;DRUH;CESKE_JMENO;KAT_TAX;AUTOR;DATUM_OD;DATUM_DO;CAS;ID_LOKAL;NAZ_LOKAL;SITMAP;KATASTR;X;Y;ZDROJ;NEGATIV;POCET;ODHAD;POCITANO;REL_POC;POKRYVN;PATROVITOST;KODHN;ETOLOGIE;KOMPLETNI_SEZNAM;POZNAMKA;UMIST_NAL;POP_BIOT;TAX_POZN;PROJEKT;DAT_SADA;ZAPSAL;VEROH;VALIDACE;VAL_POZN;GARANCE;GAR_POZN;VYHLASKA;EVD;REDLIST;STRUKT_POZN;CXLOKAL_POZN;CXLOKAL_Z;CXPRESNOST;DATI_INSERT;DATI_UPDATE;UPDATOR
610;39181973;Phengaris teleius;modrásek oèkovanı;Motıli;Marhoul Pavel;20120714;20120714;;6049221;EVL Horní Plouènice (èást 1);5353;izníkov;-722827.6;-979702.97;KADLEC T., ZAPLETAL M., MARHOUL P. (2013) Motıli vybranıch evropsky vıznamnıch lokalit Libereckého kraje (Èeská republika). Klapalekiana. 49, 1-2. 43-71.;0;5;0;jedinci;;;;;;0;sbìr entomologickou síkou;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Škapec Ludvík;1;;;Garantováno;;SO;HD II, HD IV;VU;;_;;1345;20161109
611;39175836;Phengaris teleius;modrásek oèkovanı;Motıli;Mückstein Petr;20160709;20160709;;6047317;Hlinsko;6261;Hlinsko v Èechách;-639652.87;-1091584.28;MÜCKSTEIN P. (2016) Terénní zápisky - náhodná pozorování.;0;200;0;imaga;;;;;;0;;;;;Mobilní sbìr dat;ND - Databáze BioLog;Mückstein Petr;1;;;Garantováno;;SO;HD II, HD IV;VU;;;;16;20161021
612;37108337;Phengaris teleius;modrásek oèkovanı;Motıli;Moravec Pavel, Klimešová Kateøina;20160801;20160801;;5956135;Tøebušín;5351;Tøebušín;-749568;-983104;MORAVEC P. (2016) Extenzivní monitoring modráskù.;0;3;0;jedinci;;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Moravec Pavel;1;;;Garantováno;;SO;HD II, HD IV;VU;;;;49;20160805
613;37108330;Phengaris teleius;modrásek oèkovanı;Motıli;Moravec Pavel, Klimešová Kateøina;20160801;20160801;;5956133;Tøebušín;5351;Tøebušín;-749443;-983290;MORAVEC P. (2016) Extenzivní monitoring modráskù.;0;1;0;jedinci;;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Moravec Pavel;1;;;Garantováno;;SO;HD II, HD IV;VU;;;;105;20160805
614;37108310;Phengaris teleius;modrásek oèkovanı;Motıli;Moravec Pavel, Klimešová Kateøina;20160729;20160729;;5956129;Øepèice;5351;Øepèice;-750685;-982646;MORAVEC P. (2016) Extenzivní monitoring modráskù.;0;1;0;jedinci;;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Moravec Pavel;1;;;Garantováno;;SO;HD II, HD IV;VU;;;;81;20160805
615;37108295;Phengaris teleius;modrásek oèkovanı;Motıli;Moravec Pavel, Klimešová Kateøina;20160726;20160726;;5956127;Všeradištì;5451;Øepèice;-751426;-984295;MORAVEC P. (2016) Extenzivní monitoring modráskù.;0;10;0;jedinci;;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Moravec Pavel;1;;;Garantováno;;SO;HD II, HD IV;VU;;;;95;20160805
616;37108251;Phengaris teleius;modrásek oèkovanı;Motıli;Moravec Pavel, Klimešová Kateøina;20160804;20160804;;5956119;Haslice;5351;Homole u Panny;-749939;-982090;MORAVEC P. (2016) Extenzivní monitoring modráskù.;0;1;0;jedinci;;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Moravec Pavel;1;;;Garantováno;;SO;HD II, HD IV;VU;;;;111;20160805
617;37108224;Phengaris teleius;modrásek oèkovanı;Motıli;Moravec Pavel, Klimešová Kateøina;20160721;20160721;;5956082;Ludvíkovice;5251;Ludvíkovice;-742941;-964379;MORAVEC P. (2016) Extenzivní monitoring modráskù.;0;5;0;jedinci;;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Moravec Pavel;1;;;Garantováno;;SO;HD II, HD IV;VU;;;;66;20160805
618;37108222;Phengaris teleius;modrásek oèkovanı;Motıli;Moravec Pavel, Klimešová Kateøina;20160721;20160721;;5956080;Ludvíkovice;5251;Ludvíkovice;-743097;-964169;MORAVEC P. (2016) Extenzivní monitoring modráskù.;0;40;0;jedinci;;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Moravec Pavel;1;;;Garantováno;;SO;HD II, HD IV;VU;;;;178;20160805
619;37108220;Phengaris teleius;modrásek oèkovanı;Motıli;Moravec Pavel, Klimešová Kateøina;20160721;20160721;;5956078;Ludvíkovice;5251;Ludvíkovice;-743253;-964165;MORAVEC P. (2016) Extenzivní monitoring modráskù.;0;;0;jedinci;velmi hojnì;;;;;0;Velmi hojnı krvavec s hojnım vıskytem modráska, øádovì stovky ex.;;Louka je uprostøed pøerušená vıstavbou, kanalizací nebo drenáí. Vzhledem k velikosti populace se zde jedná o velmi negativní zásah.;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Moravec Pavel;1;;;Garantováno;;SO;HD II, HD IV;VU;;;;110;20160805
